colors,language,type,text,flavor,title,raw_text
W,Portuguese (Brazil),Criatura — Humano Clérigo,"Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.)
Quando Eleito da Ancestral entra em jogo, você ganha 1 ponto de vida para cada card em seu cemitério.","""A vontade de todos pelas minhas mãos realizada.""",Eleito da Ancestral,"Eleito da Ancestral - Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.) Quando Eleito da Ancestral entra em jogo, você ganha 1 ponto de vida para cada card em seu cemitério. ""A vontade de todos pelas minhas mãos realizada."""
W,Portuguese (Brazil),Criatura — Anjo,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Quando Anjo de Misericórdia entra em jogo, você ganha 3 pontos de vida.",Cada lágrima derramada é uma gota de imortalidade.,Anjo de Misericórdia,"Anjo de Misericórdia - Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) Quando Anjo de Misericórdia entra em jogo, você ganha 3 pontos de vida. Cada lágrima derramada é uma gota de imortalidade."
W,Portuguese (Brazil),Feitiço,A criatura alvo recebe +3/+3 e ganha a habilidade de voar até o final do turno. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),Somente o guerreiro que for capaz de admitir sua própria fragilidade mortal será favorecido com força imortal.,Bênção Angelical,Bênção Angelical - A criatura alvo recebe +3/+3 e ganha a habilidade de voar até o final do turno. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) Somente o guerreiro que for capaz de admitir sua própria fragilidade mortal será favorecido com força imortal.
W,Portuguese (Brazil),Encantamento,"Toda vez que uma criatura entra em jogo sob seu controle, você ganha uma quantidade de pontos de vida igual à resistência dela.",A harmonia do glorioso é um lamento para o perverso.,Coro Angelical,"Coro Angelical - Toda vez que uma criatura entra em jogo sob seu controle, você ganha uma quantidade de pontos de vida igual à resistência dela. A harmonia do glorioso é um lamento para o perverso."
W,Portuguese (Brazil),Criatura — Barreira,"Defensor, voar (Esta criatura não pode atacar, e pode bloquear criaturas com a habilidade de voar.)","""A Ancestral nos protege de maneiras que nos é difícil começar a compreender."" — Ancião místico",Barreira Angelical,"Barreira Angelical - Defensor, voar (Esta criatura não pode atacar, e pode bloquear criaturas com a habilidade de voar.) ""A Ancestral nos protege de maneiras que nos é difícil começar a compreender."" — Ancião místico"
W,Portuguese (Brazil),Encantamento,"As mágicas de artefato e de encantamento que seus oponentes jogam custam {2} a mais para serem jogadas.
Sacrifique Aura de Silêncio: Destrua o artefato ou encantamento alvo.",Nem todos os silêncios são facilmente rompidos.,Aura de Silêncio,Aura de Silêncio - As mágicas de artefato e de encantamento que seus oponentes jogam custam {2} a mais para serem jogadas. Sacrifique Aura de Silêncio: Destrua o artefato ou encantamento alvo. Nem todos os silêncios são facilmente rompidos.
W,Portuguese (Brazil),Criatura — Ave Soldado,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Quando Caça-Nuvens Aviano entrar em jogo, destrua o encantamento alvo.","""Na nova Repartição, as Águias imploraram para ser humanas. A Ancestral concedeu metade daquela súplica."" — Mito dos nômades",Caça-Nuvens Aviano,"Caça-Nuvens Aviano - Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) Quando Caça-Nuvens Aviano entrar em jogo, destrua o encantamento alvo. ""Na nova Repartição, as Águias imploraram para ser humanas. A Ancestral concedeu metade daquela súplica."" — Mito dos nômades"
W,Portuguese (Brazil),Criatura — Humano Rebelde,"{X}{W}, {T}: Esquadrão de Balista causa X pontos de dano à criatura alvo atacante ou bloqueadora.",O antídoto perfeito contra as formações muito cerradas.,Esquadrão de Balista,"Esquadrão de Balista - {X}{M}, {T}: Esquadrão de Balista causa X pontos de dano à criatura alvo atacante ou bloqueadora. O antídoto perfeito contra as formações muito cerradas."
W,Portuguese (Brazil),Mágica Instantânea,"Previna o próximo 1 ponto de dano que seria causado à criatura ou ao jogador alvo neste turno.
Compre um card.","A vida é medida em centímetros. Para um curandeiro, cada um desses centímetros é precioso.",Atadura,"Atadura - Previna o próximo 1 ponto de dano que seria causado à criatura ou ao jogador alvo neste turno. Compre um card. A vida é medida em centímetros. Para um curandeiro, cada um desses centímetros é precioso."
W,Portuguese (Brazil),Mágica Instantânea,Duplique o total de pontos de vida do jogador alvo. Embaralhe Guia da Imortalidade no grimório de seu dono.,A caverna se inunda de luz. Milhares de raios reluzem e se combinam em um.,Guia da Imortalidade,Guia da Imortalidade - Duplique o total de pontos de vida do jogador alvo. Embaralhe Guia da Imortalidade no grimório de seu dono. A caverna se inunda de luz. Milhares de raios reluzem e se combinam em um.
